1.367834	-2.652001	-4.019834	47	The isovector giant dipole resonance (GDR) and isoscalar giant quadrupole resonance (GQR) in the axially deformed nuclei 154 Sm, 238 U, and 254 No will be considered.
1.065797	-3.874867	-4.940664	28	Using vector meson dominance (VMD), tensor glueball photoproduction cross sections, asymmetries and widths are calculated.
1.006131	-2.691271	-3.697402	53	The self-consistent random phase approximation (RPA), based on the framework of relativistic energy density functionals, is employed in the study of isovector and isoscalar dipole response in 68 Ni, 132 Sn, and 208 Pb.
1.005856	-3.816626	-4.822482	33	At leading order (LO) in the chiral expansion the potential is given by the well established one-pion exchange (OPE) and two contact forces without derivatives.
0.984627	-2.600869	-3.585495	38	The response of asymmetric nuclear matter (ANM) has not been considered and, also, the difference between the response to isoscalar and isovector operators has not been investigated.
0.978545	-3.698317	-4.676862	26	The leading order (LO) D ( * ) K potential is described by the Weinberg-Tomozawa (WT) term.
0.884520	-3.458228	-4.342747	39	Theoretical calculations using the coupled-channels (CC) method fail to correctly predict the magnitude of the single-2 + and mutual-2 + states data together with the elastic scattering data.
0.873976	-2.557143	-3.431118	32	The Relativistic Hartree Bogoliubov (RHB) theory is applied in the description of ground-state properties of Ni and Sn isotopes.
0.861439	-3.004638	-3.866078	70	The EOSs for the symmetric nuclear matter (SNM) and the pure neutron matter (PNM) obtained for the IUFSU parameters, in the density range 2.5 -4.5ρ 0 (ρ 0 = 0.16 fm -3 ), agree reasonably with the ones extracted by analyzing the heavy-ion collisions data.
0.847319	-4.184195	-5.031514	27	The soft momentum dependent (SM) EoS provides the best overall description of the HADES data for both protons and light clusters.
0.846207	-3.735218	-4.581425	20	The chiral bag model (CBM) predicts a ratio of -1 for the pionic contributions.
0.823289	-3.709325	-4.532614	53	The dense matter equation of state (EOS) determines neutron star (NS) structure but can be calculated reliably only up to one to two times the nuclear saturation density, using accurate manybody methods that employ nuclear interactions from chiral effective field theory constrained by scattering data.
0.815390	-2.699920	-3.515310	37	The Large Hadron Collider (LHC) experiments have revealed that the predictions of the color glass condensate (CGC) tend to underestimate the multiplicity at mid-rapidity.
0.811931	-2.747331	-3.559263	50	Ab initio calculations, like the no-core shell model (NCSM) and Green's function Monte Carlo (GFMC), of the spectrum s-and p-shell nuclei are routinely performed using realistic two-and three-body nuclear forces.
0.803461	-3.739736	-4.543197	34	The predictions of the charge symmetry breaking (CSB) terms are compared with the Nolen-Schiffer (NS) anomaly regarding the energies of neighboring mirror nuclei.
0.802729	-3.296219	-4.098949	62	The nuclear level density (NLD) and the γ-ray strength function (GSF) of the neutron-deficient 109 In isotope were extracted for the first time with data from the 106 Cd(α, pγ) 109 In reaction using a combination of the Oslo and the shape methods.
0.781052	-3.790022	-4.571075	35	The limited amount of data from hyperon-nucleon (YN), yet alone hyperon-hyperon (YY), scattering makes the development of hypernuclear potentials challenging.
0.756722	-3.155765	-3.912487	43	Charge exchange spin-dipole (SD) excitations of 90 Zr and 208 Pb are studied by using a Skyrme Hartree-Fock(HF) + Random Phase approximation (RPA).
0.750365	-4.158236	-4.908600	28	The wave functions were derived from shell model (SM) diagonalizations with harmonic oscillator Slater determinants and with suitable residual two-body interactions.
0.737923	-4.269853	-5.007777	37	The initial extended double folding (EDF) coupled channel calculation included coupling to the collective 2 + and 3 -states of 12 C at 4.44 and 9.64 MeV respectively.
0.730474	-3.730517	-4.460990	46	Employing a distorted wave impulse approximation (DWIA) model to estimate the contribution of the isovector spin monopole strength, the assumption was made that the complete IVSM strength is concentrated in a single state at 35 MeV.
0.708965	-3.923398	-4.632363	33	Number of Constituent Quark (NCQ) scaling of v2 of ρ 0 meson with respect to other hadrons at intermediate pT is observed.
